Date,Open,High,Low,Close,Adj Close,Volume
10/18/2019,517.900024,545,516.799988,540.049988,537.983459,465765
10/22/2019,527,527,502.25,512.900024,510.937378,366858
10/23/2019,514.799988,518.349976,492.049988,494.25,492.358734,361459
10/24/2019,495,503.5,486.049988,500,498.086731,238415
10/25/2019,500,508.700012,486.200012,504.799988,502.868347,438618
10/27/2019,504.5,509,495.5,499.850006,497.937286,17488
10/29/2019,498.799988,503.950012,491.5,500.100006,498.18634,164309
10/30/2019,500.100006,501.950012,488.149994,492.049988,490.167145,163238
10/31/2019,501.049988,514.450012,490,506.899994,504.960297,528446
11/1/2019,510.049988,519.700012,502.049988,511,509.044617,319612
11/4/2019,516,518.900024,498,500.549988,498.634613,342559
11/5/2019,501,505.75,495.600006,500.100006,498.18634,267745
11/6/2019,504,514.950012,498,505,503.067596,505760
11/7/2019,520,520.799988,506.5,509.450012,507.50058,212533
11/8/2019,507.399994,516.799988,503.549988,515.049988,513.079102,191156
11/11/2019,511,529.650024,510.899994,522.950012,520.948914,276078
11/13/2019,518,533.25,515.599976,520.400024,518.408691,209778
11/14/2019,518.400024,521,513.5,516.25,514.274536,115747
11/15/2019,516,518.400024,508,510.649994,508.695953,334534
11/18/2019,511,512.900024,503.200012,507.549988,505.607819,164152
11/19/2019,507,520.200012,501.299988,514.25,512.282166,431551
11/20/2019,514.150024,536,511,515.400024,513.427795,413941
11/21/2019,516.700012,519.5,502,506.549988,504.611633,308816
11/22/2019,506,508.450012,500.100006,504.799988,502.868347,159179
11/25/2019,515.049988,520,502.100006,506.200012,504.263,489483
11/26/2019,508,509.799988,499.899994,501.600006,499.680603,197954
11/27/2019,499.899994,506.600006,491,496.299988,494.400879,328381
11/28/2019,496.600006,512,496.200012,507.799988,505.856873,465894
11/29/2019,507.899994,521,500.75,516.900024,514.922058,405692
12/2/2019,516.900024,518.400024,508,513.5,511.535065,355609
12/3/2019,514,543.799988,510.399994,535.299988,533.251648,1024092
12/4/2019,534.799988,548.700012,528.299988,541.950012,539.876221,486957
12/5/2019,541.5,557.5,541,554.400024,552.278564,472641
12/6/2019,554,559.75,542,558.450012,556.313049,218158
12/9/2019,560,571.799988,540.650024,551.299988,549.19043,510087
12/10/2019,543,548.650024,520.25,523.75,521.74585,238529
12/11/2019,523,525.650024,506.299988,508.299988,506.35495,334778
12/12/2019,511.450012,516,505.5,508.75,506.803253,159743
12/13/2019,511.200012,532,510.049988,523.75,521.74585,294014
12/16/2019,522.799988,531.5,516,524.400024,522.393372,207191
12/17/2019,524.400024,527.849976,512,514.349976,512.381775,498793
12/18/2019,515.849976,523.849976,515,517.099976,515.121277,240549
12/19/2019,518.400024,541.900024,515.150024,518.900024,516.914429,641172
12/20/2019,520.099976,524.099976,515.200012,517.950012,515.968018,189097
12/23/2019,517.900024,523.650024,515.450012,522,520.002563,68030
12/24/2019,524.75,528.5,519,521.049988,519.056152,169722
12/26/2019,521.099976,524.950012,515,519.650024,517.66156,77740
12/27/2019,521.650024,527.5,520,523.849976,521.845459,350240
12/30/2019,525.950012,534.950012,522.099976,528.5,526.477661,185262
12/31/2019,528.5,534,525,530.650024,528.619446,72234
1/1/2020,530.650024,530.700012,521,522.950012,520.948914,45551
